UR OF R,UR OF CR,UR OF OE,UR OF NOI,UR OF FCF
153.3398970525,13.77910161,18.6652147963636,5.09242147666667,84.04015619
2001.1099720325,1464.27917408,1136.26999135107,10.5242742291667,1707.32586011556
10.2587248588637,0.2833771025,3.7341587225,0.0876839196428571,9.16680452636364
36.4099277600002,14.6649682925,2.27934113,2.26548294014706,54.2876476191667
2870.35037280028,560.139054173611,398.675089762501,12.66891974,2719.3190715625
44.6226377469444,282.1920957275,7.69969623361111,0.189674331071429,10.3637161877778
4948.746303035,93.9417761666666,6139.985030915,608.054152765,377.687843793269
268501.772500001,41359.6043181819,43045.2,2897.09,210657.456666667
24.79404475,1.07262329,19.65548581,0.0370861225,16.7913405357143
4263662.24,986850.6025,274590.085,121086.082727273,2047536.2025
68389.87857529,18777.73360729,1754.9150496825,3.2744834225,55194.1670293025
31096889.31,2708650.4125,6609057.97805556,56868.64,4539909.90431818
1156.2061777925,318.794932066944,518.47971868,0.694408858863637,187.844523767955
1896874.783178,1581909.36957598,6888.13333171271,153.2530389025,27897.2562009469
663343.475227272,473366.5625,85515.2827272728,41409.4444444444,644077.14
5949.48642499999,1213.70504874472,4731.613634,47.8421809975,32897.3651125
3425.06182521,784.044593385456,559.706826045555,16.8721759925,897.79263189
100258.146843182,23668.1939999999,4383.047475,13711.2410821429,77110.7885
605.773732625,426.92448191,6.36333489138888,1.8574939525,15.75886641
411.33268125,8.63396885583333,88.6093964509088,3.8753791125,680.736544180278
3678.548127,67.44480319,56860.0955076025,35.5181706758333,393.31470526
88168.4715384615,6226.47916666667,10415085.56,2247.84096153846,36502.7025
79.5354350281819,28.6418379691667,32.38334681,0.0218357558333333,19.2622182043182
17527.2414,2830.52431071428,8502.1016,37.4198647058823,1248.9231
588456.166933333,167111.835566667,16671.600475,95.1296307692307,1595970.33685833
19.3024560770455,1.15945187666667,5.1976593825,0.00412369173076923,28.851705915
2126.7230154825,191.703762546944,656.2409769025,18.93338659,298.833202343333
38825.3291666667,33341.3806818182,78172.17,11611.2328571429,545307.993928572
20412.05756945,8730.90129651361,637.27845906,2.8849696325,5431.3484154225
4425.79266857334,1518.67945771273,203.836874655833,0.12875249,472.580511120682
2.35144811,0.456475714285714,21.0416662775,0.0126995555555556,7.0812513225
516.852183583333,111.747615395556,2213.4516849825,1871.07113849393,932.655533555556
11765.4764190752,1183.06267918917,1741.30746352333,51.90275104,4514.56615777889
11.85662405,2.11054556555555,3.22677017805556,0.00748665,1.89147112557692
1173.80972880111,591.395305944166,127.188070985833,46.0482194608333,413.88557514
