DR OF A,DR OF B,DR OF C,DR OF D,DR OF FCF
181.8955936425,27.8867102322222,25.0456364488889,2.23470259181818,36.3269588066667
1771.9809168225,1272.0788722,373.57221685327,7.59498251704545,831.225383069091
11.6615799002778,0.1863147525,0.732114015357142,0.0403097163461539,14.7889102677778
35.4385983199998,13.7173043625,2.90009389,112.281450189167,134.49773844
1961.36087030432,347.087634198864,383.008150092499,11.18811414,448.189590741071
24.1374815661364,6.3352768775,4.39660567704546,0.0489702025,6.05294564636364
1686.08715587666,8.83675264285716,2427.57183396917,5116.3749096775,2064.66080234821
218934.922499999,54434.7669444443,46513.8,6630.015,465009.84
8.57385464583334,0.182550318571429,3.56547887153847,0.0342828002777778,4.54356009615385
4074635.84,629239.0925,69596.3054545453,213130.987777778,1186321.01159091
8726.42834425,2534.20830411667,284.900649209167,119.249573455833,8128.9619908025
14521652.61,2155418.4425,1774779.34068182,27886.8581818182,6481162.84472222
838.4033592625,156.060867813409,350.11044024,1.16522234472222,214.143856566944
268596.364692999,215327.590735277,9250.48049284002,115.6269327925,25412.7888945843
1007229.41361111,365074.789772727,213405.51,20820.6363636364,353607.256666667
6063.24703640001,1007.07864398614,1180.6160735,1333.0891886475,11913.1036011667
4533.84697449889,1182.01362755111,278.044487799091,21.6450126625,909.10445309
115263.648247222,25232.2720000001,6170.636975,3537.955225,74153.6665
302.072154229166,194.03191021,1.27418353886364,0.10745619625,36.65239961
531.24068717,24.717924035,171.25957376,2.3893680625,379.643352120682
138.194472142857,14.4251587858333,168.863795419167,873.9888508825,201.865968726667
284587.381428571,16137,273363.31,7035.57392857143,31886.6025
101.554043832222,20.4854544752273,19.3511191372727,0.0152529770454545,31.7830867002778
6386.49256666667,838.206101923078,2089.3871,696.3601,441.4336
303330.155054545,93036.7783545453,6538.78180833334,895.1724,230234.817739286
22.2776535225,0.871471173636363,5.3230748725,0.0153397939285714,11.9603263233333
1616.3763488125,121.108003457045,424.5327708025,3.27201295666666,692.62537271
