"A","B","C","D","DR OF FCF***","Clase"
"0.014323368823784","-0.0025372084971832","0.0036014356824233","-0.012155618520374","36.326958806667","0"
"-0.35542368552149","0.30316252537878","-0.035295335535965","0.0041044259187874","831.22538306909","0"
"0.030872491924496","-0.001226107488955","-0.0063013073695714","0.001333920690895","14.788910267778","1"
"-0.061180660902407","0.047203690429811","0.002713683337094","-0.004636175713069","134.49773844","0"
"-0.10315618501642","0.043715728258573","0.072599109824983","-0.01545540417036","448.18959074107","1"
"0.025761170756433","-0.12949712354427","-0.0078269678001556","0.00090703694223493","6.0529456463636","0"
"-0.052634579701641","0.013370891097602","0.070548686266463","0.14386821299951","2064.6608023482","1"
"0.028511065620867","-0.0045744558442589","-0.0102313638354","-0.0016939430274456","465009.84","1"
"0.056345371995852","-0.0080520569206738","-0.066573248689385","0.0066712055700789","4.5435600961538","0"
"0.0053260170823665","-0.0046280704186854","0.019891824699955","0.013765818974166","1186321.0115909","1"
"0.28046232359133","-0.14043101921294","0.012125939553542","0.0019545632815607","8128.9619908025","1"
"0.0075219209866075","-0.0031694390341688","0.0074470014415523","0.0013702946978485","6481162.8447222","1"
"-0.025377698120667","-0.017606851413498","-0.028901780967099","0.012772780910424","214.14385656694","0"
"-0.10274926623227","0.091451503782235","-0.0024425474190142","0.00060952165574232","25412.788894584","0"
"-0.034283869720054","0.021015887291492","0.0053184956015086","0.0020746188481068","353607.25666667","0"
"-0.063893239092418","0.018815130391932","0.0020170897387217","-0.011688504690773","11913.103601167","0"
"-0.046962635889374","0.0061382783638671","-0.015784565248758","-0.0052623301413224","909.10445309","0"
"-0.0067044008154535","0.002705000616249","0.00098811807929985","0.00024334128411001","74153.6665","0"
"0.057296432559341","-0.058802063897162","0.015661082254159","0.0015915056159212","36.65239961","1"
"-0.001965881721317","0.012786358878756","0.037606432303411","0.0040385687195833","379.64335212068","1"
"0.17063750333422","-0.07491064283809","-0.15646751577623","0.087086428888828","201.86596872667","0"
"0.037814308026668","-0.0079602349773994","-0.025923635937215","-0.01045866463155","31886.6025","1"
"0.27205600789082","-0.11524471551328","-0.13914469870078","-0.00026260041435459","31.783086700278","1"
"-0.19133884093358","0.074841052686141","0.22596702277482","-0.037951357986296","441.4336","1"
"0.052335965174511","-0.026078641235324","-0.0030743654051169","-0.00021199663256375","230234.81773929","1"
"-0.039013158002679","0.012330217790439","0.15382007184254","0.0077698510490299","11.960326323333","1"
"0.025725554512159","-0.0038830405375061","0.017849045306093","-0.034531613947231","692.62537271","1"
"-0.092685278528769","0.053440814227599","0.0073314596730259","0.005471609973168","47195.430192308","0"
"0.074704397201974","-0.031468345192355","0.0023884060925725","0.001460402999511","3134.3318237952","1"
"-0.083264219099482","0.043655085382425","0.030273052759526","-0.0010389680207453","931.31687584694","0"
"0.23258192142375","-0.096715279349805","-0.087290877317151","-0.002950347549901","13.620439778056","1"
"-0.064273301842735","0.052625880185174","0.0043965928037667","0.01062502271682","662.55822690909","0"
"-0.022409130395519","0.010817074730291","0.018861026215489","-0.004258558508321","2894.32546729","1"
"-0.077920234273078","0.018779780032582","0.056288380518363","0.0031771781484397","7.3205346167857","0"
"0.29392184960213","-0.2941973997275","-0.0044109138045561","-0.0062242993948583","484.45493378","0"
"0.022137995816843","-0.0061573037361098","-0.0090957751937541","-0.0024777030453456","33363.182857143","1"
"0.019076266615604","-0.026187003414054","0.037939902241508","0.042216175909636","29.61907669","1"
"-0.08417231712616","0.0578111252549","0.023116154771034","-0.0047664159383933","4146.4581817847","0"
"-0.020140596234748","0.019857251681183","0.026449817088504","-0.006266149802086","140.54172079545","1"
"-0.012196011699873","0.0050606908336099","-0.00250762496432","-0.0058258121432456","80612.05","0"
"0.0737213337096","-0.010612788115197","-0.018905381943929","0.0074110255841991","2341710.1336111","1"
"0.12511360022931","-0.065202487104423","-0.038266815730262","-0.0060884374679727","61489.496065829","1"
"-0.071302408725019","0.039826551067645","0.0060118784222112","0.0034368100914503","960881.37666667","0"
"0.037001611117062","-0.021314075674128","-0.032487912107936","0.0010589957449576","4.3284266433333","0"
"0.017518428236575","-0.020248430483378","0.0042416783934125","-0.0030614981139286","80576.937847222","1"
"0.022850537512538","-0.0044101763483358","-0.0048126669044837","-0.0084225932230121","16.8508565725","1"
"0.020817482734385","0.011651429308292","0.08746795788572","0.002669197073158","5.620078255","1"
"0.041986665509633","-0.024971677609274","-0.010245675835082","0.00013107194529337","18.26645154","1"
"-0.050933125934749","0.018835698542228","0.003241847614446","0.0075251741817829","34.2577091125","0"
"-0.084674669784791","0.081881317585049","-0.0005145107887826","-0.034952190233662","153.17768138","0"
"0.01387577572711","0.015364005397601","-0.044807359212056","0.0017166320320729","38.904461275227","0"
"0.00054382999298253","0.008965963415116","0.0034303032184388","0.0014698107918447","259256.14","1"
"0.0065348830541987","-0.0020545918444175","-0.0016316442297118","0.0026892685466394","1786.3336444654","1"
"0.043346464390048","-0.0066174503914322","-0.0057307797835658","-0.0006903933722714","112157.42157668","1"
"-0.25482984129596","0.15713805674351","0.00027042764887181","0.01007655483826","10811.21076004","0"
"0.030797368766232","-0.0060043776971262","-0.019816902971743","0.0015025896572203","510901.665","1"
"0.047470452721747","-0.034647666246182","-0.0077349262651685","0.00049652129855535","25820615.7525","1"
"0.031950566119403","0.0024447619387952","-0.015287567883311","0.001297100333205","7797.2009615385","1"
"0.10378193693614","-0.037768430592236","0.017540623254031","-0.0023253485057533","20.0294318225","1"
"-0.026144902180214","0.022807273903711","0.0050482723993962","-0.0040207622202543","7126.2560766718","1"
"-0.0046474021203837","-0.00089455946442782","0.00095831963818843","-0.0056179396796901","536198.81083333","0"
"0.012533736918579","-0.0031598386910291","0.00088295048629101","-0.0046477066662018","11903.60713973","1"
"-0.022060361881115","0.01935164589948","-0.0017155985549236","0.0014744067706443","123233.78947143","0"
"0.26776782103404","-0.042996104808327","-0.10332186736983","-0.0081500232190724","293.18401318917","1"
"-0.096895119998963","0.084497055578857","0.0069264553247948","4.6818969659766E-5","980410.36","0"
"-0.040475527232079","0.021559084479784","0.02134229397445","-0.0079831937703057","708.20967419556","1"
"0.016881436691434","-0.0043472325326945","-0.0021519275502633","-0.00073197607379973","115740.04","1"
"0.0057585266373453","-0.022220343456492","0.0095922660256455","-0.014505089122592","709551.21138889","0"
"-0.14925321498579","0.067147346424735","-0.00034312134757759","-0.00013687935510074","14593.13953445","0"
"0.023087923696035","-0.008722336401225","-0.019030993335478","0.0016269685974495","7885.2219963525","0"
"-0.050047818239006","-0.0074482848729556","0.024768482048545","0.0023836458926069","118958.69522727","0"
"-0.015953044313794","0.011147383540065","-0.0037161261721558","0.0010026194989528","2444.7500084218","0"
"-0.057257653658243","0.015039697849539","0.021021902555608","-0.00096322025256746","2510.9361151","0"
"-0.084415456622541","0.050251239397382","0.0066920063924429","-0.0209088761477","16112.821428571","0"
"-0.083663198145691","0.025294216574327","0.080893740857762","-0.00054707805925463","722.77379864068","1"
"-0.10277160797219","-0.0042933576841176","-0.01535743946479","0.023226963068554","1243127.1854545","0"
"-0.00085090823031861","0.0016420311817329","-0.0036441591390095","-0.0022380673503681","61.23459314","0"
"-0.006742176849979","-0.0068316679220433","0.022309259467275","0.027764757778382","58152.25136917","1"
"-0.03306640138803","0.0041095626033382","0.020779099933118","-0.0026884991631424","220228.89617613","0"
"0.037847173226638","-0.010794643130245","0.043572429224751","-0.022102197531838","81.323207835","1"
"0.017952511910649","-0.0084349972294767","-0.0062369077441304","-0.00082383290232433","8648.656225","1"
"0.079132444748046","-0.082767360852129","-0.028593302811043","-0.00073634123891705","6317.4559871442","0"
"0.054838957253721","-0.028002408810967","-0.026063639416902","0.0017422693224872","27.0884750325","1"
"0.0071898085659027","-0.008105816372868","0.0037022092637395","-0.0078903741157685","1167695.29","1"
"-0.2360332878336","0.17472610883305","0.027289643077419","0.0011914984605647","18922.639232903","0"
"-0.11841892495455","0.078825942510761","0.017136395694704","-0.0056717192988634","472864.32082857","0"
