DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
2017-10-01,8439.01876207577,1641.7288506472698,4706.103286462921,955.523190020351,851.150221758768,18438.3995800267,5414.35768516055
2017-10-08,8425.869005046152,1620.059632043193,4928.968968524083,962.9108858206263,849.5910723253829,18369.284487420286,5425.609528707468
2017-10-15,8412.719248016532,1598.390413439116,5151.834650585245,970.2985816209016,848.0319228919979,18300.16939481387,5436.861372254386
2017-10-22,8399.569490986914,1576.7211948350391,5374.700332646407,977.6862774211769,846.4727734586128,18231.054302207456,5448.113215801303
2017-10-29,8386.419733957297,1555.051976230962,5597.56601470757,985.0739732214522,844.9136240252277,18161.939209601038,5459.365059348221
2017-11-05,8373.269976927677,1533.3827576268852,5820.431696768732,992.4616690217275,843.3544745918426,18092.824116994623,5470.616902895139
2017-11-12,8360.120219898059,1511.7135390228084,6043.297378829894,999.8493648220028,841.7953251584576,18023.70902438821,5481.868746442056
2017-11-19,8346.970462868441,1490.0443204187313,6266.163060891056,1007.2370606222782,840.2361757250724,17954.593931781794,5493.120589988974
2017-11-26,8333.820705838823,1468.3751018146545,6489.028742952219,1014.6247564225536,838.6770262916873,17885.47883917538,5504.372433535891
2017-12-03,8320.670948809204,1446.7058832105777,6711.894425013381,1022.0124522228289,837.1178768583022,17816.363746568964,5515.624277082809
2017-12-10,8307.521191779586,1425.0366646065006,6934.760107074543,1029.400148023104,835.5587274249172,17747.248653962546,5526.876120629727
2017-12-17,8294.371434749968,1403.3674460024238,7157.625789135705,1036.7878438233795,833.9995779915321,17678.13356135613,5538.127964176644
2017-12-24,8281.221677720348,1381.6982273983467,7380.491471196868,1044.175539623655,832.440428558147,17609.018468749717,5549.379807723562
2017-12-31,8268.07192069073,1360.0290087942699,7603.35715325803,1051.56323542393,830.8812791247619,17539.903376143302,5560.63165127048
2018-01-07,8287.497878731052,1362.9289334201121,7550.323732416888,1053.261458589123,819.2708016006195,17867.012313265703,5489.835606808274
2018-01-14,8306.923836771373,1365.8288580459546,7497.290311575745,1054.9596817543163,807.6603240764772,18194.121250388103,5419.039562346067
2018-01-21,8326.349794811695,1368.7287826717968,7444.256890734603,1056.6579049195093,796.0498465523348,18521.2301875105,5348.243517883861
2018-01-28,8345.775752852016,1371.6287072976393,7391.223469893461,1058.3561280847025,784.4393690281925,18848.3391246329,5277.447473421655
2018-02-04,8365.201710892337,1374.5286319234815,7338.1900490523185,1060.0543512498955,772.82889150405,19175.4480617553,5206.651428959449
2018-02-11,8384.627668932659,1377.4285565493237,7285.156628211176,1061.7525744150885,761.2184139799076,19502.556998877702,5135.855384497243
2018-02-18,8404.053626972982,1380.3284811751662,7232.123207370034,1063.4507975802817,749.6079364557653,19829.6659360001,5065.059340035036
2018-02-25,8423.479585013303,1383.2284058010084,7179.089786528892,1065.1490207454747,737.9974589316229,20156.7748731225,4994.26329557283
2018-03-04,8442.905543053625,1386.1283304268507,7126.056365687749,1066.8472439106677,726.3869814074806,20483.8838102449,4923.467251110624
2018-03-11,8462.331501093946,1389.028255052693,7073.022944846607,1068.5454670758609,714.7765038833381,20810.9927473673,4852.671206648418
2018-03-18,8481.757459134267,1391.9281796785353,7019.989524005465,1070.2436902410539,703.1660263591957,21138.1016844897,4781.875162186212
2018-03-25,8501.183417174589,1394.8281043043778,6966.9561031643225,1071.941913406247,691.5555488350534,21465.2106216121,4711.079117724005
2018-04-01,8520.60937521491,1397.72802893022,6913.92268232318,1073.64013657144,679.945071310911,21792.3195587345,4640.2830732617995
2018-04-08,8502.195639363163,1385.1567514631047,6905.07439822128,1036.4891541739048,684.2961267123281,22192.66995279739,4680.269102433279
2018-04-15,8483.781903511415,1372.5854739959893,6896.2261141193785,999.3381717763698,688.6471821137453,22593.020346860285,4720.255131604758
2018-04-22,8465.368167659668,1360.0141965288738,6887.377830017478,962.1871893788345,692.9982375151625,22993.370740923176,4760.241160776237
2018-04-29,8446.954431807919,1347.4429190617584,6878.529545915577,925.0362069812994,697.3492929165795,23393.72113498607,4800.227189947716
2018-05-06,8428.540695956171,1334.871641594643,6869.681261813676,887.8852245837643,701.7003483179967,23794.07152904896,4840.213219119196
2018-05-13,8410.126960104424,1322.3003641275277,6860.832977711776,850.734242186229,706.0514037194139,24194.421923111855,4880.199248290675
2018-05-20,8391.713224252677,1309.7290866604121,6851.984693609875,813.5832597886939,710.402459120831,24594.772317174746,4920.185277462154
2018-05-27,8373.29948840093,1297.1578091932968,6843.136409507974,776.4322773911588,714.7535145222482,24995.12271123764,4960.171306633633
2018-06-03,8354.885752549182,1284.5865317261814,6834.288125406074,739.2812949936236,719.1045699236654,25395.47310530053,5000.157335805113
2018-06-10,8336.472016697433,1272.015254259066,6825.439841304173,702.1303125960885,723.4556253250825,25795.823499363425,5040.143364976592
2018-06-17,8318.058280845686,1259.4439767919505,6816.591557202272,664.9793301985533,727.8066807264996,26196.173893426316,5080.129394148071
2018-06-24,8299.644544993938,1246.8726993248351,6807.743273100371,627.8283478010181,732.1577361279168,26596.524287489206,5120.11542331955
2018-07-01,8281.230809142191,1234.3014218577198,6798.894988998471,590.677365403483,736.508791529334,26996.8746815521,5160.10145249103
2018-07-08,8365.896320774287,1235.7896671586707,6893.165461995965,591.7155928178753,732.3868400092699,27626.57073531938,5210.184593199195
2018-07-15,8450.561832406383,1237.2779124596213,6987.435934993459,592.7538202322676,728.2648884892058,28256.266789086654,5260.267733907359
2018-07-22,8535.22734403848,1238.7661577605722,7081.706407990954,593.79204764666,724.1429369691417,28885.962842853933,5310.350874615524
2018-07-29,8619.892855670576,1240.254403061523,7175.976880988449,594.8302750610522,720.0209854490777,29515.658896621208,5360.434015323688
2018-08-05,8704.558367302672,1241.7426483624738,7270.247353985943,595.8685024754445,715.8990339290135,30145.354950388486,5410.517156031853
2018-08-12,8789.223878934768,1243.2308936634245,7364.517826983438,596.9067298898368,711.7770824089495,30775.05100415576,5460.600296740018
2018-08-19,8873.889390566863,1244.7191389643754,7458.788299980933,597.9449573042292,707.6551308888854,31404.74705792304,5510.683437448182
2018-08-26,8958.55490219896,1246.207384265326,7553.058772978427,598.9831847186215,703.5331793688214,32034.443111690314,5560.766578156347
2018-09-02,9043.220413831055,1247.695629566277,7647.329245975921,600.0214121330138,699.4112278487572,32664.139165457593,5610.849718864512
2018-09-09,9127.885925463152,1249.1838748672276,7741.599718973416,601.059639547406,695.2892763286932,33293.83521922487,5660.9328595726765
2018-09-16,9212.551437095248,1250.6721201681785,7835.870191970911,602.0978669617984,691.1673248086291,33923.53127299214,5711.016000280842
2018-09-23,9297.216948727344,1252.1603654691291,7930.140664968405,603.1360943761907,687.045373288565,34553.22732675942,5761.099140989006
2018-09-30,9381.88246035944,1253.64861077008,8024.4111379659,604.174321790583,682.9234217685009,35182.9233805267,5811.182281697171
2018-10-07,9392.517780491848,1248.5927749472578,8000.27030981407,579.253875418173,678.7192553016556,35649.434364908564,5817.7789820257985
2018-10-14,9403.153100624257,1243.5369391244358,7976.129481662239,554.3334290457632,674.5150888348102,36115.94534929043,5824.375682354426
2018-10-21,9413.788420756664,1238.4811033016135,7951.98865351041,529.4129826733532,670.3109223679648,36582.45633367229,5830.972382683054
2018-10-28,9424.423740889071,1233.4252674787915,7927.84782535858,504.4925363009433,666.1067559011195,37048.96731805416,5837.569083011682
2018-11-04,9435.059061021479,1228.3694316559693,7903.70699720675,479.5720899285334,661.9025894342742,37515.47830243602,5844.16578334031
2018-11-11,9445.694381153888,1223.3135958331472,7879.56616905492,454.6516435561234,657.6984229674288,37981.98928681789,5850.762483668937
2018-11-18,9456.329701286295,1218.257760010325,7855.42534090309,429.7311971837135,653.4942565005834,38448.50027119975,5857.359183997565
2018-11-25,9466.965021418702,1213.2019241875028,7831.28451275126,404.8107508113036,649.2900900337381,38915.01125558161,5863.955884326194
2018-12-02,9477.600341551111,1208.1460883646807,7807.143684599429,379.8903044388936,645.0859235668927,39381.52223996347,5870.552584654822
2018-12-09,9488.235661683519,1203.0902525418585,7783.0028564476,354.9698580664837,640.8817571000474,39848.03322434534,5877.149284983449
