DATES,D Revenue,U CR,D OE,U NOI,U CAPEX,U WK,D FCF
06/30/2018,6706.63177118634,2494.85813724948,8098.52477159825,320.889181286416,1237.55794477134,55856.0159893274,3929.49817467344
09/30/2018,6176.37423304861,2122.09092754336,7793.0008524133,487.054719718432,1096.15021780776,40187.127599104,7497.74956078092
12/31/2018,7698.64634205263,1832.00426283555,6228.23424013578,568.244929585826,2499.65741652731,34852.9773577524,7014.96739835617
03/31/2019,7423.99632572946,2365.42228184072,4840.14526584119,495.621125457743,2974.85290392651,33741.8978823064,6441.90390741595
06/30/2019,6346.01073650657,2537.64541807107,2883.4463723369,631.802342509111,2811.61412715187,26391.392655561,6441.90390741595
09/30/2019,7647.17603832363,3126.34747393468,4614.6110325945,572.271147854464,2811.61412715187,28066.0497166951,5790.0869555112
12/31/2019,7422.80717526134,3703.6487776053,6157.47005767073,466.716045006669,2811.61412715187,28248.4664177081,5790.0869555112
